question_id,set_id,set_title,question_order,prompt,sentence_template,blank_count,options_text,correct_order_text,distractors_text,final_sentence,grammar_tags_text
202606-0601-1-Q01,202606-0601-1,6.1,1,What did Professor Zhou ask about the upcoming conference?,She asked ______ ______ ______ ______ ______.,5,"[""the arrangements"", ""knew"", ""which department"", ""was handling"", ""if you""]","[""if you"", ""knew"", ""which department"", ""was handling"", ""the arrangements""]",[],She asked if you knew which department was handling the arrangements.,
202606-0601-1-Q02,202606-0601-1,6.1,2,I heard the new art exhibition opened in the campus library yesterday.,______ ______ ______ ______ ______ fees?,5,"[""know if"", ""entry"", ""any"", ""do you"", ""there are""]","[""do you"", ""know if"", ""there are"", ""any"", ""entry""]",[],Do you know if there are any entry fees?,
202606-0601-1-Q03,202606-0601-1,6.1,3,I saw an advertisement for a new online course in data science.,Can ______ ______ ______ ______ ______ ______?,6,"[""tell"", ""me whether"", ""it includes"", ""you"", ""practical"", ""projects""]","[""you"", ""tell"", ""me whether"", ""it includes"", ""practical"", ""projects""]",[],Can you tell me whether it includes practical projects?,
202606-0601-1-Q04,202606-0601-1,6.1,4,Why did the university’s admissions representative attend the marketing seminar?,He was ______ ______ ______ ______ ______.,5,"[""interested in"", ""effective"", ""finding out"", ""what types of campaigns"", ""proved most""]","[""interested in"", ""finding out"", ""what types of campaigns"", ""proved most"", ""effective""]",[],He was interested in finding out what types of campaigns proved most effective.,
202606-0601-1-Q05,202606-0601-1,6.1,5,I heard about the photography exhibition at the art gallery.,Do you ______ ______ ______?,3,"[""know if"", ""student artists"", ""it features"", ""do you""]","[""know if"", ""it features"", ""student artists""]","[""do you""]",Do you know if it features student artists?,
202606-0601-1-Q06,202606-0601-1,6.1,6,Why is the cafeteria closed today?,______ mentioned that ______ ______ ______ ______ ______.,6,"[""the university bulletin"", ""what"", ""are investigating"", ""they"", ""caused"", ""the issue""]","[""the university bulletin"", ""they"", ""are investigating"", ""what"", ""caused"", ""the issue""]",[],The university bulletin mentioned that they are investigating what caused the issue.,
202606-0601-1-Q07,202606-0601-1,6.1,7,Did you like the coffee shop that just opened on campus?,______ was not ______ ______ ______ ______ ______.,6,"[""the ambiance"", ""had"", ""as"", ""as inviting"", ""I"", ""hoped""]","[""the ambiance"", ""as inviting"", ""as"", ""I"", ""had"", ""hoped""]",[],The ambiance was not as inviting as I had hoped.,
202606-0601-1-Q08,202606-0601-1,6.1,8,What did your professor say about the new project?,______ ______ ______ ______ ______ ______.,6,"[""could start"", ""it"", ""she wanted"", ""to know"", ""working on"", ""when we""]","[""she wanted"", ""to know"", ""when we"", ""could start"", ""working on"", ""it""]",[],She wanted to know when we could start working on it.,
202606-0601-1-Q09,202606-0601-1,6.1,9,I heard that the new art gallery near campus is attracting a lot of visitors.,______ ______ ______ ______ public?,4,"[""it opened"", ""to the"", ""know when"", ""do you""]","[""do you"", ""know when"", ""it opened"", ""to the""]",[],Do you know when it opened to the public?,
202606-0601-1-Q10,202606-0601-1,6.1,10,I heard about a new cooking class starting next month.,Can ______ ______ ______ ______ ______ ______?,6,"[""me whether"", ""on vegetarian"", ""it focuses"", ""you"", ""recipes"", ""tell""]","[""you"", ""tell"", ""me whether"", ""it focuses"", ""on vegetarian"", ""recipes""]",[],Can you tell me whether it focuses on vegetarian recipes?,
202606-0603-1-Q01,202606-0603-1,6.3,1,Did you like the coffee shop that just opened on campus?,______ was not ______ ______ ______ ______ ______.,6,"[""the ambiance"", ""had"", ""as"", ""as inviting"", ""I"", ""hoped""]","[""the ambiance"", ""as inviting"", ""as"", ""I"", ""had"", ""hoped""]",[],The ambiance was not as inviting as I had hoped.,
202606-0603-1-Q02,202606-0603-1,6.3,2,I heard that the annual school picnic is scheduled for next weekend.,______ ______ ______ ______ decided?,4,"[""has been"", ""the venue"", ""know if"", ""do you""]","[""do you"", ""know if"", ""the venue"", ""has been""]",[],Do you know if the venue has been decided?,
202606-0603-1-Q03,202606-0603-1,6.3,3,I'm planning to visit the new museum exhibit after class today.,______ ______ does ______ ______?,4,"[""what"", ""time"", ""open"", ""it""]","[""what"", ""time"", ""it"", ""open""]",[],What time does it open?,
202606-0603-1-Q04,202606-0603-1,6.3,4,How did the professor respond to your research proposal?,______ ______ ______ ______ ______ ______.,6,"[""details about"", ""study would"", ""be implemented"", ""he asked"", ""for more"", ""how the""]","[""he asked"", ""for more"", ""details about"", ""how the"", ""study would"", ""be implemented""]",[],He asked for more details about how the study would be implemented.,
202606-0603-1-Q05,202606-0603-1,6.3,5,I just finished reading the latest bestseller novel assigned for our literature class.,______ ______ ______ ______ ______ ______ weekend?,6,"[""signing books"", ""the author"", ""know if"", ""do you"", ""will be"", ""this""]","[""do you"", ""know if"", ""the author"", ""will be"", ""signing books"", ""this""]",[],Do you know if the author will be signing books this weekend?,
202606-0603-1-Q06,202606-0603-1,6.3,6,Can you explain why Sarah missed class?,Didn't she ______ ______ to ______ ______ ______ ______?,6,"[""doctor's"", ""a"", ""attend"", ""she had"", ""appointment"", ""mention that""]","[""mention that"", ""she had"", ""attend"", ""a"", ""doctor's"", ""appointment""]",[],Didn't she mention that she had to attend a doctor's appointment?,
202606-0603-1-Q07,202606-0603-1,6.3,7,Why haven't you read that book yet?,I read ______ ______ ______ ______ ______ ______.,6,"[""another"", ""book"", ""written"", ""instead"", ""the same author"", ""by""]","[""another"", ""book"", ""written"", ""by"", ""the same author"", ""instead""]",[],I read another book written by the same author instead.,
202606-0603-1-Q08,202606-0603-1,6.3,8,Which team did you join for the class project?,I participated ______ ______ ______ ______ ______ ______.,6,"[""energy"", ""in"", ""focuses on"", ""that group that"", ""renewable"", ""solutions""]","[""in"", ""that group that"", ""focuses on"", ""renewable"", ""energy"", ""solutions""]",[],I participated in that group that focuses on renewable energy solutions.,
202606-0603-1-Q09,202606-0603-1,6.3,9,Why are you not participating in the freshman social event?,______ ______ engagement ______ ______ ______ ______.,6,"[""miss"", ""I have"", ""that"", ""a prior"", ""I"", ""can't""]","[""I have"", ""a prior"", ""that"", ""I"", ""can't"", ""miss""]",[],I have a prior engagement that I can't miss.,
202606-0603-1-Q10,202606-0603-1,6.3,10,What are you looking for in a new laptop?,______ ______ ______ ______ ______ ______ choice.,6,"[""is my"", ""battery life"", ""top"", ""the model"", ""that has"", ""the longest""]","[""the model"", ""that has"", ""the longest"", ""battery life"", ""is my"", ""top""]",[],The model that has the longest battery life is my top choice.,
202606-0607-1-Q01,202606-0607-1,6.7 - 1,1,Did you like the painting at the university gallery?,______ ______ ______ ______ ______ it.,5,"[""about"", ""interesting"", ""found"", ""nothing"", ""I""]","[""I"", ""found"", ""nothing"", ""interesting"", ""about""]",[],I found nothing interesting about it.,
202606-0607-1-Q02,202606-0607-1,6.7 - 1,2,I just signed up for the photography workshop.,Is ______ ______ ______ ______ ______ ______?,6,"[""time"", ""first"", ""one"", ""it"", ""your"", ""taking""]","[""it"", ""your"", ""first"", ""time"", ""taking"", ""one""]",[],Is it your first time taking one?,
202606-0607-1-Q03,202606-0607-1,6.7 - 1,3,I heard there's a music festival near campus this weekend.,______ ______ it ______?,3,"[""being"", ""where"", ""is"", ""held""]","[""where"", ""is"", ""held""]","[""being""]",Where is it held?,
202606-0607-1-Q04,202606-0607-1,6.7 - 1,4,What did the teacher say about the museum's history during the field trip?,He explained ______ ______ ______ ______ ______ ______.,6,"[""as"", ""a"", ""originally used"", ""how the"", ""building was"", ""courthouse""]","[""how the"", ""building was"", ""originally used"", ""as"", ""a"", ""courthouse""]",[],He explained how the building was originally used as a courthouse.,
202606-0607-1-Q05,202606-0607-1,6.7 - 1,5,I saw an advertisement for a digital marketing course.,Can ______ ______ ______ ______ ______?,5,"[""for beginners"", ""tell"", ""it's suitable"", ""me whether"", ""you""]","[""you"", ""tell"", ""me whether"", ""it's suitable"", ""for beginners""]",[],Can you tell me whether it's suitable for beginners?,
202606-0607-1-Q06,202606-0607-1,6.7 - 1,6,The conference on climate change was very informative.,______ ______ ______ ______ ______ online?,5,"[""do you"", ""be available"", ""the keynote"", ""know if"", ""speech will""]","[""do you"", ""know if"", ""the keynote"", ""speech will"", ""be available""]",[],Do you know if the keynote speech will be available online?,
202606-0607-1-Q07,202606-0607-1,6.7 - 1,7,Where did you leave your school ID card?,It is ______ ______ ______ ______ ______ ______.,6,"[""is next"", ""to"", ""on the"", ""door"", ""table that"", ""the""]","[""on the"", ""table that"", ""is next"", ""to"", ""the"", ""door""]",[],It is on the table that is next to the door.,
202606-0607-1-Q08,202606-0607-1,6.7 - 1,8,Which seminar should I attend next week?,I'm interested in ______ ______ ______ ______.,4,"[""research techniques"", ""that focuses"", ""on advanced"", ""the one""]","[""the one"", ""that focuses"", ""on advanced"", ""research techniques""]",[],I'm interested in the one that focuses on advanced research techniques.,
202606-0607-1-Q09,202606-0607-1,6.7 - 1,9,What kind of books does he write?,______ mainly writes ______ ______ ______ ______.,5,"[""human relationships"", ""he"", ""that"", ""explore"", ""novels""]","[""he"", ""novels"", ""that"", ""explore"", ""human relationships""]",[],He mainly writes novels that explore human relationships.,
202606-0607-1-Q10,202606-0607-1,6.7 - 1,10,Are you ready for the presentation in biology class tomorrow?,______ ______ ______ ______ ______ ______ experiment.,6,"[""I've"", ""prepared"", ""that"", ""describes"", ""my"", ""a slideshow""]","[""I've"", ""prepared"", ""a slideshow"", ""that"", ""describes"", ""my""]",[],I've prepared a slideshow that describes my experiment.,
202606-0607-2-Q01,202606-0607-2,6.7 - 2,1,Did you enjoy the drama club's performance last night?,______ ______ was ______ ______ ______.,5,"[""very"", ""not"", ""the"", ""compelling"", ""storyline""]","[""the"", ""storyline"", ""not"", ""very"", ""compelling""]",[],The storyline was not very compelling.,
202606-0607-2-Q02,202606-0607-2,6.7 - 2,2,I just heard the news about the university's budget cuts.,______ ______ ______ ______ department?,4,"[""do you"", ""affect our"", ""know how"", ""it will""]","[""do you"", ""know how"", ""it will"", ""affect our""]",[],Do you know how it will affect our department?,
202606-0607-2-Q03,202606-0607-2,6.7 - 2,3,I'm preparing to study abroad next semester.,______ ______ offers ______ ______ ______?,5,"[""which"", ""best"", ""the"", ""country"", ""programs""]","[""which"", ""country"", ""the"", ""best"", ""programs""]",[],Which country offers the best programs?,
202606-0607-2-Q04,202606-0607-2,6.7 - 2,4,What did the guest speaker discuss during the lecture?,______ ______ ______ ______ ______ ______ ______.,7,"[""industries"", ""future"", ""she explained"", ""shape the"", ""how emerging"", ""technologies will"", ""of""]","[""she explained"", ""how emerging"", ""technologies will"", ""shape the"", ""future"", ""of"", ""industries""]",[],She explained how emerging technologies will shape the future of industries.,
